skill,older_pct,newer_pct,growth_pct_points
logistics,0.03545217565670744,0.04797787486472404,1.2525699208016599
chemical,0.011028674553839985,0.020481782836987455,0.9453108283147471
salesforce,0.00765991578103068,0.014349272515932503,0.6689356734901823
supply chain,0.021576097854421494,0.027015110826085213,0.5439012971663718
servicenow,0.006095849207940646,0.011142731171590044,0.5046881963649398
finance,0.14601965109284137,0.1507876067177041,0.4767955624862735
digital marketing,0.013274513735712853,0.017595895627079243,0.43213818913663893
civil,0.019610988570282734,0.023728405948134194,0.411741737785146
accounting,0.022618808903148185,0.02613331195639104,0.35145030532428534
ci/cd,0.0008421896932023261,0.0038077678464066697,0.29655781532043435
seo,0.0027270904351313413,0.004849893783317969,0.21228033481866274
ruby,0.0013635452175656706,0.0034069501783638625,0.2043404960798192
cybersecurity,0.016924002406256265,0.018958675698424788,0.2034673292168523
aws,0.02177661920994586,0.023728405948134194,0.1951786738188334
python,0.015159414477641868,0.01707483265862359,0.1915418180981723
spring,0.0014838580308802888,0.002966050743516774,0.14821927126364853
project management,0.013114096651293363,0.014429436049541064,0.13153393982477007
power bi,0.0036494886705434127,0.0047697302497094075,0.11202415791659948
node.js,0.0006817726087828353,0.0017235159725840716,0.10417433638012362
quality assurance,0.009344295167435332,0.010301014068700149,0.09567189012648167
jenkins,0.000481251253258472,0.0014028618381498256,0.09216105848913536
terraform,0.0005213555243633447,0.0012826165377369835,0.07612610133736389
typescript,0.0010427110487266893,0.0017635977393883522,0.07208866906616629
react,0.006697413274513736,0.007415126858791935,0.07177135842781997
vue,0.000360938439943854,0.001042125936911299,0.0681187496967445
scala,0.000721876879887708,0.0013226983045412641,0.06008214246535561
tableau,0.0020854220974533787,0.0026053148422782476,0.0519892744824869
devops,0.03870062161620213,0.039199967934586556,0.04993463183844277
kubernetes,0.0016041708441949067,0.002084251873822598,0.04800810296276914
microservices,0.0034890715861239222,0.003887931380015231,0.03988597938913087
mysql,0.0007619811509925808,0.0011222894705198605,0.03603083195272798
oracle,0.014116703428915179,0.014429436049541064,0.031273262062588535
rest api,0.00020052135552436334,0.0003607359012385266,0.01602145457141633
django,0.00032083416883898135,0.0004809812016513688,0.016014703281238742
postgresql,0.0008421896932023261,0.0010020441701070182,0.015985447690469213
machine learning,0.01487868457990776,0.015030662551605276,0.015197797169751517
nosql,8.020854220974534e-05,0.00016032706721712294,0.00801185250073776
html,0.0005614597954682174,0.0006413082688684918,0.007984847340027437
jira,0.0005614597954682174,0.0005611447352599303,-3.150602082871131e-05
gcp,0.0008421896932023261,0.0008417171028898954,-4.725903124307238e-05
deep learning,0.0008421896932023261,0.0008417171028898954,-4.725903124307238e-05
rust,0.00044114698215359934,0.0004008176680428073,-0.004032931411079204
data warehouse,0.0010427110487266893,0.0010020441701070182,-0.0040666878619671125
swift,0.0022458391818728695,0.0022044971742354405,-0.0041342007637429085
git,0.00016041708441949068,8.016353360856147e-05,-0.00802535508109292
content marketing,0.000721876879887708,0.000601226502064211,-0.012065037782349703
autocad,0.0007619811509925808,0.000601226502064211,-0.016075464892836976
docker,0.0008020854220974534,0.0005210629684556495,-0.02810224536418038
data science,0.004130739923801885,0.0038478496132109503,-0.028289031059093497
business analysis,0.0011229195909364348,0.0008016353360856146,-0.03212842548508202
networking,0.0015239623019851615,0.001202453004128422,-0.03215092978567395
mongodb,0.0004010427110487267,4.0081766804280735e-05,-0.03609609442444459
css,0.000721876879887708,0.0003607359012385266,-0.03611409786491814
hadoop,0.002045317826348506,0.00164335243897551,-0.04019653873729961
data analysis,0.0008822939643071987,0.00044089943484708805,-0.044139452946011064
golang,0.0025265690796069783,0.002084251873822598,-0.04423172057843802
kotlin,0.0009223982354120714,0.0004008176680428073,-0.05215805673692641
spark,0.00240625626629236,0.0017635977393883522,-0.06426585269040078
angular,0.003408863043914177,0.0027656419094953706,-0.06432211344188062
javascript,0.00481251253258472,0.004168503747645196,-0.06440087849395237
computer vision,0.0029276117906557046,0.0021644154074311594,-0.07631963832245453
c#,0.015921395628634448,0.014950499017996713,-0.09708966106377354
nlp,0.0026468818929215963,0.0015631889053669486,-0.10836929875546476
azure,0.010266693402847403,0.009138642831376007,-0.11280505714713965
agile,0.00858231401644275,0.007375045091987655,-0.12072689244550959
c++,0.015199518748746742,0.013908373081085414,-0.12911456676613278
php,0.0021255263685582516,0.0006813900356727725,-0.14441363328854792
testing,0.013956286344495689,0.012265020642109905,-0.1691265702385784
linux,0.013194305193503108,0.011262976472002886,-0.1931328721500222
excel,0.0026869861640264688,0.0005611447352599303,-0.21258414287665386
sharepoint,0.005333868056948065,0.0030862960439296165,-0.22475720130184482
etl,0.007258873069981953,0.0043689125816666,-0.2889960488315353
scrum,0.009865650691798676,0.006894063890336286,-0.297158680146239
sql,0.012672949669139764,0.009419215199005973,-0.32537344701337906
asp.net,0.005133346701423702,0.001483025371758387,-0.3650321329665315
procurement,0.03308602366151995,0.029420016834342057,-0.3666006827177892
mechanical,0.0554642069380389,0.05126457974267506,-0.4199627195363841
r,0.021375576498897132,0.016874423824602188,-0.4501152674294944
.net,0.04026468818929216,0.03527195478776705,-0.4992733401525111
sap,0.07876478844996992,0.06978235600625275,-0.8982432443717172
java,0.0834970924403449,0.0734297967854423,-1.0067295654902595
electrical,0.06785642670944456,0.056555372960840115,-1.1301053748604442
